id,author,title,year,tag
43,"Dumas, Vincent and Guillemin, Fabrice and Robert, Philippe",Admission control of leaky bucket regulated sources in a queueing system with priority ,2003,itc18
44,"Elwalid, A. and Mitra, D. and Saniee, I. and Widjaja, I.",Online traffic engineering in {GMPLS} networks: From shortest-path to design-based routing ,2003,itc18
45,"Menth, Michael and Gehrsitz, Sebastian and Milbrandt, Jens",Fair assignment of efficient network admission control budgets ,2003,itc18
46,"Salvador, Paulo and Nogueira, AntÃ³nio and Valadas, Rui",Joint characterization of the packet arrival and packet size processes of multifractal traffic based on stochastic L-systems ,2003,itc18
47,"Görg, Carmelita and Charzinski, Joachim and Lehnert, Ralf and Tran-Gia, Phuoc",Providing QoS in heterogeneous environments ,2003,itc18
48,"Sun, Lingfen and Ifeachor, Emmanuel",New methods for voice quality evaluation for {IP} networks ,2003,itc18
49,"Eitan Altman, Tania Jiménez",Simulation analysis of {RED} with short lived {TCP} connections ,2003,itc18
50,"Biton, Erez and Orda, Ariel","QoS provision with {EDF} scheduling, stochastic burstiness and stochastic guarantees ",2003,itc18
51,"Roughan, Matthew and Spatscheck, Oliver",What does the mean mean? ,2003,itc18
52,"Khanna, Sanjeev and Sarkar, Saswati and Shin, Insik",An energy measurement based collision resolution protocol ,2003,itc18
53,"Öznur Özkasap, Mine Çalar",Traffic behavior of scalable multicast: Self-similarity and protocol dependence ,2003,itc18
54,"Saito, Hiroshi and Minami, Hiroya",Performance issues in sensor networking ,2003,itc18
55,"Narbutt, Miroslaw and Murphy, Liam",VoIP playout buffer adjustment using adaptive estimation of network delays ,2003,itc18
56,"Pérez-Costa, Xavier and Torrent-Moreno, Marc and Hartenstein, Hannes",A simulation study on the performance of hierarchical mobile {IPv6} ,2003,itc18
57,"Tinnakornsrisuphap, P. and La, R.J. and Makowski, A.M.",Modeling {TCP} traffic with session dynamics-many sources asymptotics under ECN/RED gateways ,2003,itc18
58,"Schweigel, Mathias",The cell residence time in rectangular cells and its exponential approximation ,2003,itc18
59,"Mandjes, Michel and van Uitert, Miranda",Sample-path large deviations for tandem queues with Gaussian inputs ,2003,itc18
60,"Kamienski, Carlos Alberto and Sadok, Djamel",Strategies for provisioning end-to-end QoS-based services in a multi-domain scenario ,2003,itc18
61,"Hong, Dohy and Poppe, Fabrice and Reynier, Julien and Baccelli, FranÃ§ois and Petit, Guido",The impact of burstification on {TCP} throughput in optical burst switching networks ,2003,itc18
62,"Ivanovich, M. and Hesse, M. and Fitzpatrick, P.",Paging performance in {GSM} networks: Analysis and simulation ,2003,itc18
63,"Schopp, Michael and Viallon, JoÃ«l",Service availability in distributed network architectures: Evaluation and planning issues ,2003,itc18
64,"Chassot, C. and Auriol, G. and Lozes, A.",QoS management protocol for an end-to-end communication architecture implemented over a differentiated {IPv6} network ,2003,itc18
65,"Grieco, L.A. and Mascolo, S.",A mathematical model of westwood+ {TCP} congestion control algorithm ,2003,itc18
66,"Kordybach, Krzysztof and Nousiainen, Sami",Radio resource management in WCDMA-based networks in emergency situations ,2003,itc18
67,"Elsayed, Khaled M.F. and Ayad, Amr S. and El-Hadidi, Mahmoud T.",Evaluation of resource reservation policies for deterministic services in multi-service packet networks ,2003,itc18
68,"Katayama, Tsuyoshi and Kobayashi, Kaori and Nakagawa, Kazuyuki",System delay analysis for a nonpreemptive time-limited service queueing system with two types of vacations and its application ,2003,itc18
69,"Alzati, M. and Bottigliengo, M. and Casetti, C. and Mellia, M.",Fair marking of web flows using partial state information ,2003,itc18
70,"Hendling, K. and Franzl, G. and Statovci-Halimi, B. and Halimi, A.",Residual network and link capacity weighting for efficient traffic engineering in {MPLS} networks ,2003,itc18
71,"Houdt, B. Van and Blondia, C.",Maximum stable throughput of FS-ALOHA under delay constraints ,2003,itc18
72,"Borst, Sem and NÃºÃ±ez-Queija, Rudesindo and Zwart, Bert",Bandwidth sharing with heterogeneous service requirements ,2003,itc18
73,"Heck, K. and Staehle, D. and Leibnitz, K.",Macro diversity gain in {UMTS} networks with clustered user distributions ,2003,itc18
74,"Fernandez, Marcial P. and de C.P. Pedroza, Aloysio and Rezende, JosÃ© F.",Converting QoS policy specification into fuzzy logic parameters ,2003,itc18
75,"Srinivasa, G.N. and Vishwanath, Arun",Traffic constraints instead of traffic matrices: Capabilities of a new approach to traffic characterization ,2003,itc18
76,"Haßlinger, Gerhard and Takes, Patricia",Real time video traffic characteristics and dimensioning regarding {QOS} demands ,2003,itc18
77,"{Gergely Mátéfi, János Farkas}, Casaba Antal",Towards efficient call admission control in {IP} {UTRAN} ,2003,itc18
78,"Wu, Kehang and Reeves, Douglas S.",Link dimensioning and {LSP} optimization for {MPLS} networks supporting diffserv {EF} and {BE} traffic classes ,2003,itc18
79,"Dressler, Falko",A metric for numerical evaluation of the QoS of an internet connection ,2003,itc18
80,"Sarkar, Saswati and Anjum, Farooq M. and Jain, Ravi",Maximizing efficiency in Bluetooth piconets using throughput optimal packet size selection (TOPS) ,2003,itc18
81,"Jelenković, P. and Radovanović, A.",Optimizing the {LRU} algorithm for web caching ,2003,itc18
82,"Uhlig, Steve and Bonaventure, Olivier and Quoitin, Bruno",Interdomain traffic engineering with minimal {BGP} configurations ,2003,itc18
83,"Apostolopoulos, George",Traffic engineering in hierarchical multi-provider networks,2003,itc18
84,"Srivastava, S. and Mitchell, K. and van de Liefvoort, A.",Correlations induced in a packet stream by background traffic in a multiplexed environment ,2003,itc18
85,"Huang, Yaqing and Guerin, Roch and Gupta, Pranav",Supporting excess real-time traffic with active drop queue ,2003,itc18
86,"Guérin, R. and Rank, J. and Sarkar, S. and Vergetis, E.",Forming connected topologies in bluetooth ad-hoc networksâ€”An algorithmic perspective ,2003,itc18
87,"Riedl, Anton and Bauschert, Thomas and Frings, Jochen",On the dimensioning of voice over {IP} networks for various call admission control schemes ,2003,itc18
88,"Altman, Eitan",A stateless approach for improving {TCP} performance using Diffserv ,2003,itc18
89,"Huang, Qian and Chan, Sammy and Ko, King-Tim and Zukerman, Moshe",An efficient reservation-based handoff control scheme for multimedia traffic in mobile cellular networks ,2003,itc18
90,"Takács, Attila and Császár, András and Sxabó, Róbert and Cinkler, Tibor",Thrifty traffic engineering through {CSLLS} ,2003,itc18
91,"Sayenko, Alexander and HÃ¤mÃ¤lÃ¤inen, Timo and Siltanen, Jarmo and Joutsensalo, Jyrki",The simulation and analysis of the revenue critierion based adaptive {WFQ} ,2003,itc18
92,"{Michael Savorić, Holger Karl}, Adam Wolisz",Selected properties of a joint congestion controller for {TCP} connections ,2003,itc18
93,"Ayesta, U. and Avrachenkov, K.E. and Altaman, E. and Barakat, C. and Dube, P.",Multilevel approach for modeling short {TCP} sessions ,2003,itc18
94,"Li, Frank Yong",Analysis on conformance deterioration for QoS provisioning: A stochastic approach ,2003,itc18
95,"Samhat, A. and Chahed, T.",Performance evaluation of {IP} in the {UMTS} terrestrial radio access network ,2003,itc18
96,"Roughan, Matthew and Greenberg, Albert and Kalmanek, Charles and Rumsewicz, Michael and Yates, Jennifer and Zhang, Yin","Experience in measuring internet backbone traffic variability: Models metrics, measurements and meaning ",2003,itc18
97,"Ali, M. Mehmet and Song, X.",A performance analysis of a multiplexer with priority queues and correlated arrivals ,2003,itc18
98,"Heindl, Armin and Biersack, Ernst",Hybrid performance modeling of open-loop video distribution with {VCR} functionality ,2003,itc18
99,"Donner, Anton and Berioli, Matteo and Werner, Markus",An {MPLS} networking concept for satellite constellations ,2003,itc18
100,"Kihl, Maria and Robertsson, Anders and Wittenmark, BjÃ¶rn",Performance modelling and control of server systems using non-linear control theory ,2003,itc18
101,"Busson, Anthony and Kofman, Daniel and Rougier, Jean-Louis",Optimization of content delivery networks server placement ,2003,itc18
102,"Sun, Jinsheng and Ko, King-Tim and Chen, Guanrong and Chan, Sammy and Zukerman, Moshe",Adaptive drop-tail: A simple and efficient active queue management algorithm for internet flow control ,2003,itc18
103,"{Tamás Éltető, Péter Vaderna}, Sándor Molnár",Performance analysis of {TCP} networks loaded by web traffic ,2003,itc18
104,"Shi Zhou, Raúl J. Mondragón",Towards modelling the internet topology-The interactive growth model,2003,itc18
105,"Pack, Charles D.",Traffic capacity analysis for shared access networks with QoS objectives and uncertain demands ,2003,itc18
106,"Elayoubi, S-E. and Chahed, T.",Measurement-based connection admission control in UMTS: Single cell case ,2003,itc18
107,"Lamers, Eugen and Perera, Ranjit and TÃ¼rke, Ulrich and GÃ¶rg, Carmelita",Short term dynamic system level simulation concepts for {UMTS} network planning ,2003,itc18
108,"Blondia, C. and Casals, O. and CerdÃ , Ll. and den Wijngaert, N. Van and Willems, G. and Cleyn, P. De",Low latency handoff mechanisms and their implementation in an {IEEE} 802.11 network ,2003,itc18
109,"Murta, Cristina Duarte and Corlassoli, Tarcisio Paulo",Fastest connection first: A new scheduling policy for web servers ,2003,itc18
110,"Naumov, V.",Spectral properties of finite buffers with phase type service and interarrival times ,2003,itc18
111,"Bonald, T. and ProutiÃ¨re, A. and Roberts, J. and Virtamo, J.",Computational aspects of balanced fairness ,2003,itc18
112,"Lassila, Pasi and van den Berg, Hans and Mandjes, Michel and Kooij, Rob",An integrated packet/flow model for {TCP} performance analysis ,2003,itc18
113,"Görg, Carmelita and Charzinski, Joachim and Lehnert, Ralf and Tran-Gia, Phuoc",Preface ,2003,itc18
114,"Gruber, Ingo and Matthiesen, Christian",The broadcast based ad hoc routing protocol (BCBR)â€”A novel approach for ad hoc routing ,2003,itc18
115,"Nucci, A. and Schroeder, B. and Bhattacharyya, S. and Taft, N. and Diot, C.",{IGP} link weight assignment for transient link failures ,2003,itc18
116,"Dolzer, K.",QoS in optical burst switched networks-A new performance analysis of the Assured Horizon framework,2003,itc18
117,"Bonald, T. and Olivier, P. and Roberts, J.",Dimensioning high speed {IP} access networks ,2003,itc18
118,"Schneps-Schneppe, Manfred and Iversen, Villy B.",Service level agreement as an issue of teletraffic ,2003,itc18
119,"Beaubrun, R. and Pierre, S. and Conan, J.",Planning the next-generation wireless systems ,2003,itc18
120,"Staehle, Dirk and Mäder, Andreas",An analytic approximation of the uplink capacity in a {UMTS} network with heterogeneous traffic ,2003,itc18
121,"Xia, Cathy H. and Liu, Zhen and Squillante, Mark S. and Zhang, Li and Malouch, Naceur",Analysis of performance impact of drill-down techniques for web traffic models ,2003,itc18
122,"Liu, Zhen and Malouch, Naceur and Misra, Vishal and Rubenstein, Dan and Sahu, Sambit",Bandwidth-Sharing schemes for multiple multi-party sessions ,2003,itc18
123,"Guillemin, F. and Likhanov, N. and Mazumdar, R.R. and Rosenberg, C. and Ying, Yu",Buffer overflow bounds for multiplexed regulated traffic streams ,2003,itc18
124,"Dong, S. and Phillips, C. and Friskney, R.",Differentiated-resilience provisioning in wavelength-routed optical networks ,2003,itc18
125,"Fiems, Dieter and Bruneel, Herwig",Discrete-time queues with correlated vacations ,2003,itc18
126,"Muller, J.-A. and Irmscher, K.",Provision of deterministic services for voice over {IP} using priority queues ,2003,itc18
127,"Erbas, Selin Cerav and Erbas, Cagkan",A multiobjective off-line routing model for {MPLS} networks ,2003,itc18
128,"Inghelbrecht, Veronique and Steyaert, Bart and Wittevrongel, Sabine and Bruneel, Herwig",Analytic study of the interdeparture time characteristics in a multistage network ,2003,itc18
129,"Türke, Ulrich and Perera, Ranjit and Lamers, Eugen and Winter, Thomas and GÃ¶rg, Carmelita",An advanced approach for QoS analysis in {UMTS} radio network planning ,2003,itc18
130,"Rouskas, George N. and Jackson, Laura E.",Optimal granularity of {MPLS} tunnels ,2003,itc18
131,"Banchs, Albert and Pérez-Costa, Xavier and Qiao, Daji",Providing throughput guarantees in {IEEE} 802.11e wireless {LANs} ,2003,itc18
132,"Molina, Maurizio",A scalable and efficient methodology for flow monitoring in the Internet,2003,itc18
133,"Heusse, Martin and Gravey, Annie",A routing and resource preservation strategy for traffic engineering in communication networks ,2003,itc18
134,"Markovitch, N.M. and Krieger, U.R.",On-line estimation of heavy-tailed traffic characteristics in Web data mining ,2003,itc18
135,"Liu, H. and Zou, Y.Z. and Miao, D.S. and Li, D.B.",High Reliability and Large Capacity Next Generation Mobile Communication Networking,2005,itc19
136,"Li, B.H. and Lu, T.J.",The Regulation choices analysis of 3G Standards in China,2005,itc19
137,"Peng, J.S. and Liang, X.J.",Game analysis on innovation and regulation of value-added telecommunication service,2005,itc19
138,"Liu, Y.H.",A Study on Asymmetrical Regulation of Telecommunications Industry,2005,itc19
139,"Du, W.G. and Lu, T.J. and Guo, J.",Vertical Network Differentiation and Private Peering Between Internet Service Providers,2005,itc19
140,"Shi, W.H. and Wei, L.R. and Lu, T.J.",Interconnection Between Asymmetric Internet Backbone Providers,2005,itc19
141,"Zeng, Y. and Xin, Z.H. and Yun, T.",The effect of innovative services on mobile network traffic,2005,itc19
142,"Graja, H. and Perry, P. and Murphy, J.",A Low Complexity Algorithm for Statistically Based Estimation of Average IP Packet Delay in Cellular Data Networks,2005,itc19
143,"Si, Y.Q. and Chen, Y.G. and Pei, Z.G.",Modeling And Forecasting Short Message Service Income On The Arima Model,2005,itc19
144,"Br\'{e}hon, Y. and Kofman, D.","Bus-Label Switched Paths, an approach to reduce the cost of multilayer networks",2005,itc19
145,"Zhang, A.H. and Shu, H.Y. and Ma, J.",Profit-Oriented Mobile Telecommunication Network Resources Allocation Model Algorithm,2005,itc19
146,"Du, J.H. and Wang, W.B.",Investigation on directional interference based DCA scheme in TDD-CDMA,2005,itc19
147,"Zhao, Y.M. and Tao, Y. and Xu, L.",Research on network resources management system,2005,itc19
148,"Sun, Q.H. and Liang, X.J.",Running Pattern Change Detection by Neural Network Approach in Telecommunication Network,2005,itc19
149,"Pan, Deng and Yang, Yuanyuan",A Constant Complexity Fair Scheduler with O(log N) Delay Guarantee,2005,itc19
150,"Xin, Zhan-Hong and Gong, Ju-Fa and Huang, Lin-Juan",The Optimum Trunks Reservation Strategy for Dynamic Routing,2005,itc19
151,"Li, Jing and Zhang, Xin and Yang, Dacheng",Analysis of UMTS Soft Handover with Dynamic Thresholds for Traffic Load Balancing,2005,itc19
152,"Li, Jie and Liu, Xianxing and Wei, Huangfu",A Novel Adaptive Bandwidth Reservation Scheme for Multimedia Traffic in IP Networks,2005,itc19
153,"Xu, Hua and Tang, Sidney and Chen, Yi C.",Platform Capacity Assessment and Validation,2005,itc19
154,"Jiang, Yuming and Emstad, Peder J.",Analysis of Stochastic Service Guarantees in Communication Networks: A Traffic Model,2005,itc19
155,"Kumaran, J. and Mitchell, K. and van de Liefvoort, A.",An Efficient Solution to the Waiting Time Distribution in a Correlated Single Server Queue,2005,itc19
156,"Hong, Fei and Bai, Yu",Queueing Analysis of Multiscale Network Traffic,2005,itc19
157,"Ji, Yusheng",A Practical Approach for Multi-Scale Performance Analysis of Internet Traffic,2005,itc19
158,"Zhang, Di and Zhang, Min and Ye, Peida",Performance Modeling of Threshold-Based Assembly Mechanism in Asynchronous Optical Packet-Switched Networks,2005,itc19
159,"Sarker, Jahangir H.",Random Multiple Access with and without Retransmission Cut-Off,2005,itc19
160,"Li, Lei and Niu, Zhisheng",Adaptive Admission Control for QoS Services in OFDM-MIMO Networks,2005,itc19
161,"Huang, Qian and Chan, Sammy and Ping, Li and Ko, King-Tim and Zukerman, Moshe",Performance Modelling of TCP Over Wireless Links with Hybrid ARQ,2005,itc19
162,"Velayos, Hector and Karlsson, Gunnar",Statistical analysis of the IEEE 802.11 MAC service time,2005,itc19
163,"Peng, Yong and Sun, Liang and Xie, Dongliang and Li, Bo and Cheng, Shiduan",Performance Analysis and Enhancement of IEEE 802.11 DCF Contention Window Backoff Scheme in the Presence of Noise,2005,itc19
164,"Wu, Shuxing and Yang, Tao and Wu, Weiling",Channel Selection Strategies Based on Distributed Wireless Communication System,2005,itc19
165,"Zhou, Jianzhen and Beard, Cory",Weighted Earliest Deadline Scheduling and Its Analytical Solution for Admission Control in a Wireless Emergency Network,2005,itc19
166,"Peng, Mugen and Wang, Wenbo",Investigation of the Distributed Antenna Scheme for Multi-cell Environment in TDD-CDMA Systems,2005,itc19
167,"Wiczanowski, Marcin and Boche, Holger and Stanczak, Slawomir",Characterization of Optimal Resource Allocation in Cellular Networks - Optimization theoretic View and Algorithmic Solutions,2005,itc19
168,"Zhang, Hong and Zheng, Huisong",The Analysis of International Internet Connectivity,2005,itc19
169,"Chen, Yubao and Xin, Zhanhong",Research on the Sunk Cost of Telecommunications Industry,2005,itc19
170,"Shi, Wenhuai and Yang, Qingfeng",Telecommunication Needs Universal Service,2005,itc19
171,"Dong, Shuang and Liang, Xiongjian",The Analysis on the Pricing Strategy in Chinese Mobile Communication Market,2005,itc19
172,"Koutb, M. A. and Kelash, H. M. and Aboelez, R. H. and Talaat, M. A.",Content-Aware Adaptive Video Streaming System,2005,itc19
173,"Wang, Lan and Niu, Zhisheng",Subcarrier and Power Joint Allocation on the Uplink of Multiuser OFDM Systems,2005,itc19
174,"Mulyana, Eueung and Stahlke, Henning and Killat, Ullrich",Dimensioning of Multi-Class Over-Provisioned IP Networks,2005,itc19
175,"Zhang, Shu and Kreft, Lothar and Killat, Ullrich",Traffic Engineering for a Set of Multicast Groups with Respect to Hard Real Time QoS,2005,itc19
176,"Qing, Li and Zhu, Qing-Xin and Wang, Ming-Wen",A New Robust Adaptive Controller under Dynamic Network Environment,2005,itc19
177,"Lu, Tingrong and Zhang, Xiaofang and Ma, Yushu and Yang, Yongtian",Hierarchical Addressing in IP Networks,2005,itc19
178,"Song, Lihua and Wang, Haitao and Chen, Ming",Congestion Control Scheme Aiming at P2P Applications in High-Speed Networks,2005,itc19
179,"Zheng, Jianqiu and Fan, Hailan",China's Telecommunications Market and Game Theory,2005,itc19
180,"Efimushkin, Vladimir and Ledovskikh, Tatiana",Performance Evaluation of Discrete Time Queueing System with Variable Buffer Capacity,2005,itc19
181,"Zhang, Qizhi and Liao, Jianxin",Analysis of M/G/1 Queueing System with Fixed Times of Feedback,2005,itc19
182,"Liu, Ruifang and Guo, Wenbin and Chen, Xun and Xu, Huimin",Using Dependence Tree Model and Upward-Downward Algorithms for Network Loss Tomography,2005,itc19
183,"Chen, Qing and Niu, Zhisheng",Outage-Based Power and Rate Control Game for Single-Channel Ad Hoc Networks,2005,itc19
184,"Zhang, Kai and Niu, Zhisheng",Adaptive Transmission for MIMO systems with Integrated Voice/Data Traffics,2005,itc19
185,"Kuribayashi, Nobuhiko and Yue, Wuyi","Investigation of Millimeter Wave Gbps Wireless Access System, Based on Analysis of Millimeter Wave Propagation Characteristics",2005,itc19
186,"Lei, Hongyan and Nilsson, Arne A.",A D/G/1 Queue Model of Power Management in Wireless LANs,2005,itc19
187,"Jiang, Hao and Jiang, Nan and Sun, Weijun and Li, Daoben",Layered Space-time Architecture for LAS-MIMO CDMA System,2005,itc19
188,"Miao, Guowang and Niu, Zhisheng",Multichannel Resource Management of Integrated Communication and Broadcast Networks,2005,itc19
189,"Yin, Zeming and Liu, Yuzhang and Yang, Fangchun",An Optimized Scheme to Organize Softswitch-based Next Generation Networks,2005,itc19
190,"Mena\""{i}, Mohamed-Fouz and Fromentoux, Ga\""{e}l",A UML Tool for Urbanism and Control Architecture Design Applied to 3GPP Based Architectures,2005,itc19
191,"Schubert, Martin and Boche, Holger",QoS Control for Multiuser Networks - A Joint Approach to Receiver Design and Resource Allocation,2005,itc19
192,"Xu, Tong and Liao, Jianxin",Research on the Utility Max-min Fair Algorithm of Resource Allocation,2005,itc19
193,"Lu, Fu-Rong and Deng, Hui-Xue and Lu, Ting-Jie",Research on Inheritance of Extend Case Transfer Interorganization Workflow Management,2005,itc19
194,"Zhang, Jun and Bensaou, Brahim and Hei, Xiaojun and Tsang, Danny H. K.",Max Routes Coverage: a Heuristic Wavelength Converters Placement Algorithm on WDM Optical Networks,2005,itc19
195,"Moraes, Igor M. and Duarte, Otto Carlos M. B.",A Multiclass Admission Control Mechanism for Optical Burst-Switched Networks,2005,itc19
196,"Kong, Huifang and Phillips, Chris",Prediction and Pre-booking for Guaranteed Service Provisioning in Future Wavelength-Division Multiplexing (WDM) Networks,2005,itc19
197,"Rogiest, W. and Laevens, K. and Fiems, D. and Bruneel, H.",Analysis of an Asynchronous Single-Wavelength FDL Buffer,2005,itc19
198,"Mazloom, Amin R. and Basu, Kalyan",Analysis of Container Formation and Delays in the Centrally Scheduled Photonic Burst Switch,2005,itc19
199,"Zhu, Zhenzhong and Lu, Tingjie",Setting up an Independent Telecommunication Regulatory Agency in China,2005,itc19
200,"Taylor, Richard D. and Zhang, Bin",How Technology is Driving Regulatory Reform: IPTV and the Cases of the U.S. and China,2005,itc19
201,"Zuo, Hao and Liang, Xiong-Jian","Status Quo, Problems and Improvement in Telecom Regulations in China",2005,itc19
202,"Xie, Xiaoxia and Liang, Xiongjian and Xu, Liang",NGN Interconnection Trend and Its Regulation Implication,2005,itc19
203,"Wan, Yan",Regulatory Challenges to China's Telecommunications Industry from a wider Institutional Perspective,2005,itc19
204,"Zheng, Yusheng and Liang, Xiongjian",Next Generation Network Structure and Regulatory Principles,2005,itc19
205,"Xie, Zhi-Yong and Xin, Zhan-Hong",Price Regulation Induced Entry in China Mobile Telecom Market,2005,itc19
206,"Dube, Parijat and Liu, Zhen and Sahu, Sambit and Silber, Jeremy",On Designing Application- Specific Overlays,2005,itc19
207,"Binzenh\""{o}fer, Andreas and Staehle, Dirk and Henjes, Robert",On the Fly Estimation of the Peer Population in a Chord-based P2P System,2005,itc19
208,"Ho{\ss}feld, Tobias and M\""{a}der, Andreas and Tutschku, Kurt and Tran-Gia, Phuoc and Andersen, Frank-Uwe and de Meer, Hermann and Dedinski, Ivan",Comparison of Crawling Strategies for an Optimized Mobile P2P Architecture,2005,itc19
209,"Scharf, Michael",On the Response Time of Large-scale Composite Web Services,2005,itc19
210,"Guo, Wei and Cheng, Shiduan",Load Sharing in Stream Control Transmission Protocol,2005,itc19
211,"Tagami, Atsushi and Hasegawa, Teruyuki and Hasegawa, Toru",Packet Layer Routing Stability Analysis for GMPLS-based IP Backbone Network,2005,itc19
212,"Ghosh, Preetam and Basu, Kaylan and Das, Sajal K.",A Photonic Container Switched OBS Architecture with Non-preemptive Centralized Scheduler for the Core Transport Network,2005,itc19
