id,author,title,year,citation,tag
24,"Le Gall, P.",Sur L'Influence des Répétitions D'Appels dans L'Écoulement du Trafic Téléphonique,1970,8,itc06

25,"Oettl, Karl",Herausgreifen übertragungstechnisch günstiger Verbindungskomibinationen aus uneinheitlich aufgebauten Fernmeldenetzen,1970,-1,itc06

26,"Fortet, Robert M.",Les Processus de Mutations: Un Modèle Général pour les Problèmes de Trafic avec ou sans Attente,1970,-1,itc06

27,"Rubas, Jurgis",Analysis of Congestion in Small P.A.B.X's,1970,-1,itc06

28,"Wollner, Eckart",Considerations on Poissible Samples to be Obtained from Automatic Traffic Flow Measuring Equipment,1970,0,itc06

29,"Pillado Ortiz, J.M.",Measuremens to Determine the Quality of Service in Automatic Exchanges,1970,-1,itc06

30,"Oberto, Paolo",About Determining Offered Traffic from Carried Traffic Measurements in Loss Systems,1970,-1,itc06

31,"Shneps-Shneppe, Manfred",An Analysis of the Accuracy of Simulation Methods of a Full-Available Loss System,1970,1,itc06

32,"Iversen, Villy Baek and Nygaard, Jorgen",Investigations of Traffic Arrival Processes Based Upon Extensive Traffic Measurements,1970,2,itc06

33,"Anderberg, Magnus and Westerberg, Stig",Covariation of Traffic in an Alternative Routing Network. Observations from Malmoe Transit Exchange,1970,-1,itc06

34,"Rahko, Kauko",A Study of the Traffic Process Based on Measurements,1970,4,itc06

35,"Elldin, Anders",On the Extent of Routine Measurements in Telephone Plant. An Operational Research Approach,1970,1,itc06

36,"Harva, Martti",Continual Checking of Route Loading in Telephone Traffic,1970,-1,itc06

37,"Molnar, Imre",Recent Adaptive Trends in Telecommunications Traffic Engineering,1970,-1,itc06

38,"Mossotto, Cesare",Parameters for the Evaluation of Extension Policies for Local Central Offices,1970,-1,itc06

39,Erich,Analytical Models for Forecasting the Demand for Telephone Connections,1970,0,itc06

40,"Leigh, Robert B.",Application of Traffic Forecasting Techniques to Circuit Provision,1970,-1,itc06

41,"Longley, H.A.",Some Grade-of-Service Problems,1970,-1,itc06

42,"Wilkinson, Roger I.",Some Comparisons of Load and Loss Data with Current Traffic Theory,1970,14,itc06

43,"Bear, D.",Traffic Aspects of Overall Control of a PCM Network,1970,0,itc06

44,"Tanaka, Masayuki",Nonblocking Switching in Integrated PCM Networks,1970,4,itc06

45,"Jung, Magdalena M.",Calculation of the Blocking Probability in the Speech Path Network of the PDX Time Division Switching System by Trunk Exchanges,1970,-1,itc06

46,"Jonin, G.L. and Sedol, J.J.",Telephone Systems with Repeated Calls,1970,34,itc06

47,"Bretschneider, Gerhard",Repeated Calls with Limited Repetition Probability,1970,14,itc06

48,"Shneps-Shneppe, Manfred",The Effect of Repeated Calls on Communication System,1970,2,itc06

49,"Hanglberger, Paul",Simulation of the Data Flow in Common Control Switching Systems,1970,-1,itc06

50,"Farber, N.",A Model for Estimating the Real-Time Capacity of Certain Classes of Central Processors,1970,5,itc06

51,"Hakansson, Leif",A GPSS-Simulation for the Study of the Capacity of a SPC EXchange Computer,1970,-1,itc06

52,"Suzuki, Terunobu and Nunotani, Yoshiaki and Kaneda, Osamu",Traffic Design and Engineering of Central Processing Systems in an Electronic Switching System,1970,0,itc06

53,"Eisenberg, Martin",Cyclic Queue with Changeover Times,1970,2,itc06

54,"Jolly, J.H.",Comparison of Stratified and Full Simulation for a Large Telephone Exchange,1970,-1,itc06

55,"Chen, Robert W.",A Method of Estimating Dial Tone Delay in Telephone Switching Common Control Systems,1970,-1,itc06

56,"Lind, Gunnar",Accuracy in Measurements of the Mean of a Markov-Process. Arbitrary Distribution of Intervals Between Observations and Fixed Number of Observations or Fixed Measuring Period,1970,-1,itc06

57,"Rodriguez, A. and de los Mozos, J.R.",A Roulette Model for Simulation of Delay-Loss Systems,1970,7,itc06

58,Gosztony,An Approach of Real/Feed-Back Type/Telephone Traffic and its Effect on the Characteristics of Queuing Systems,1970,0,itc06

59,Dietrich,Traffic Model for the Simulation of Entire Exchanges,1970,0,itc06

60,Maria,Method of the Simulation of a Switching System Having Non-Uniform Service Characteristics,1970,-1,itc06

61,"Kosten, L.",Simulation in Traffic Theory,1970,-1,itc06

62,"Mina, Ramses R.",Modification of the Input Process Used in Classical Traffic Theory,1970,3,itc06

63,"Augustus, John",Computer-Aided Traffic Engineering of the C-1 E-A-X Exchange Using a Time-Shared Computer,1970,-1,itc06

64,"Fleming, Paul Jr.",Traffic Collection and Calculation in an International Telex Operation,1970,-1,itc06

65,"Casey, James Jr. and Shimasaki, Nobuhiko",Optimal Dimensioning of a Satellite Network Using Alternate Routing Concepts,1970,2,itc06

66,"Kharkevich, Anatoly D.",Some Considerations About the Construction of a Communication Network,1970,-1,itc06

67,Heinz,Telepone Information Systems and Associated Traffic Theory Problems,1970,0,itc06

68,"Kleinrock, L. and Muntz, R.R.",Multilevel Processor-Sharing Queueing Models for Time-Shared Systems,1970,14,itc06

69,"Wagner, Werner",Queueing Systems with Priorities and Intervals of Saturation,1970,3,itc06

70,"van Bosse, John G.",Study of a M/G/1 Delay Problem with Two Service Modes,1970,-1,itc06

71,"Pratt, Clem W.",A Group of Servers Dealing with Queueing and Non-Queueing Customers,1970,6,itc06

72,"Syski, R.",Waiting-Time Prediction,1970,-1,itc06

73,"Johnson, Elena M.",The Queue as a Stopped Random Walk,1970,0,itc06

74,"Segal, Moshe",A Multiserver System with a Finite Number of Sources and Delayed Requests Served at Random,1970,2,itc06

75,"Descloux, Alfred",On Markovian Servers with Recurrent Input,1970,12,itc06

76,"Chang, Wei",A Single-Server Queuing System in Which Service Time Depends Upon Queue size,1970,-1,itc06

77,"Hayward, W.S. Jr.",Capacities of Interacting Server Groups in Common Control Switching Systems,1970,1,itc06

78,"Boettger, Rolf and Wallner, Kurt",General Queueing Processes Treated by Means of a Time-Sharing Computer,1970,0,itc06

79,Paul,"Combined Delay and Loss Systems with Several Input Queues, Full and Limited Accessibility",1970,10,itc06

80,"Thierer, Martin",Delay Systems with Limited Availability and Constant Holding Time,1970,3,itc06

81,"Cohen, J.W.",On Memory Units with Finite Capacity,1970,-1,itc06

82,"Langenbach-Belz, Manfred",On a Multi-Server Queuing System with Constant Holding Time and Priorities,1970,3,itc06

83,"Br and t, Joachim G.",A Multiserver Queuing System with Preemptive Priority,1970,3,itc06

84,"Bocharov, Pavel P.",One-Server Priority System with Arbitrary Service Time and Limited Waiting Room,1970,5,itc06

85,"Enns, Ernst G.",A Simple Method of Calculating Queue Size Distributions of Priority Queueing Systems with Feedback,1970,2,itc06

86,"Nakamura, Gisaku and Hashida, On",Analysis of a Non-Preemptive Priority Queueing System with Setup Times,1970,4,itc06

87,"Dukhovny, Isaac M. and Pankratov, Vladimir I.",Generalized Priority Service and its Application in Analysis of One-Channel Data Transmission Systems,1970,-1,itc06

88,"Bassalygo, Leonid A. and Grushko, Inna I. and Neiman, Vladimir I.",The Structures of One-Sided Connecting Networks,1970,8,itc06

89,"Bazlen, Dieter",Call Congestion in Link Systems with Internal and External Traffic,1970,0,itc06

90,"Villar, J.E. and Fontana, B.",A Method to Formulate Blocking Functions of Network Graphs,1970,-1,itc06

91,"Fakhr El Din, Mohamed Ezzat",Comparison Between Measured and Calculated Values in a Link System with Overflow Facility,1970,0,itc06

92,"Bassalygo, Leonid A. and Grushko, Inna I. and Neiman, Vladimir I.",The Number of Reswitching for a 3-Stage Connecting Network,1970,2,itc06

93,Wolfgang,Exakt Calculation of the Probability of Loss for Two-Stage Link Systems With Preselection and Groupselection,1970,-1,itc06

94,Karl,Point to Point Loss in Link Systems. Models and calculation Methods,1970,5,itc06

95,"de Boer, J.",Traffic Problems in the Switching Network of Space Division Switching Systems of the PRX Type,1970,-1,itc06

96,"Hieber, L.J.",About Multi-Stage Link Systems with Queuing,1970,3,itc06

97,"Pedersen, Ole A.",Application of Link Traffic Statistics to Estimating Link System Congestion,1970,-1,itc06

98,"Delbrouck, L.E.N.",On Positive Recurrence for Denumerable Markov Chains,1970,-1,itc06

99,"Gatos, Eftymios and Kaiser, Frithjof",Determination of the Powers of Any Given Matrix and Application on Discrete Markov-Processes,1970,0,itc06

100,"Katzschner, Lothar",Loss Systems with Displacing Priorities,1970,6,itc06

101,"Guseinov, Bashir T.",Generalization of Kovalenko Theorem on the Invariance of Probability States of Service System with Respect to Service Time Distribution,1970,-1,itc06

102,Benes,Traffic in Connecting Networks When Existing Calls are Rearranged,1970,5,itc06

103,"Herzog, Ulrich",Calculation of Two-Way Trunk Arrangements with Different Types of Traffic Input,1970,0,itc06

104,"Jung, Magdalena M.","Calculating Method for Call Congestion of Gradings for Random Routing, Whose Traffic has a Poisson Distribution",1970,0,itc06

105,"Dartois, J. P.",Lost Call Cleared Systems with Unbalanced Traffic Sources,1970,6,itc06

106,"Joys, L.A.","Engset Losses in a Full Availability Multiple, Sequential Hunting, Improvement Function and Last Contact Traffic",1970,-1,itc06

107,"Mir and a, Giancarlo",Comparative Evaluation of Gradings with the Aid of a Simulation Method,1970,-1,itc06

108,"Klimontowicz, Andrzej",Grade of Service for Full Available Trunkgroups with Faulty Trunks,1970,5,itc06

109,Valenzuela,Programm for Optimizing Networks with Alternative Routing,1970,-1,itc06

110,"Schehrer, Rudolf",On the Exact Calculation of Overflow Systems,1970,4,itc06

111,"Arhnung, Jens",Network Dimensioning with Alternative Routing in a Multi-Exchange Area of a City,1970,0,itc06

112,"Caballero Gallego, Pedro Antonio",A Method for the Optmization of Telephone Trunking Networks with Alternate Routing,1970,2,itc06

113,"Asgersen, Chr.",A Traffic Routing Strategy Designed for Overload Protection Downwards the Hierarchy,1970,2,itc06

114,"Butrimenko, Alex and V., er",Adaptive Routing Technique and Simulation of Communication Networks,1970,4,itc06

115,"Katz, Steven S.",Trunk Engineering of Non Hierarchical Networks,1970,12,itc06

116,"Burke, Paul J.",The Overflow Distribution for Constant Holding Time,1970,13,itc06

117,"Capetti, Ilio",Opportunities Provided by the Introduction of Decentralized Switching Stages into a Large Subscribers Network,1970,-1,itc06

118,"de Ferra, Paolo and Masetti, Giovanni",On the Quality of Telephone Service in a Automatic Network and its Economical Expression,1970,-1,itc06

119,Wikell,Manual Service Criteria,1970,1,itc06

120,"Breary, Dennis",A Self-Optimising Network Model for the Long Term Planning of the UK Trunk Telecommunications Network,1970,2,itc06

121,"Rapp, Y.",Planning of Junction Network with Non-Coincident Busy Hours,1970,8,itc06

122,"Molnar, Imre",An Onlooker's Reflections on recent Grade-of-Service Deliberations by the International Telegraph and Telephone Consultative Committee (CCITT),1973,-1,itc07

123,"Parviala, A.",Calculation of the Optimum Number of Trunk Lines Based on MOE's Principle,1973,-1,itc07

124,"Rubas, Jurgis",Dimensioning of manual Operating Positions in PABX's,1973,-1,itc07

125,Wolfgang,Point-to-Point Selection in Link Systems,1973,1,itc07

126,"Joys, L.A.",Calcuclation of simple O'Dell Gradings using an Erlang Type Loss Formula,1973,-1,itc07

127,"Pellieux, G.",Observations sur le comportement de l'abonne au telephone a fort trafic en cas d'echec,1973,-1,itc07

128,"Halatschew, W. Il. and Dimtschew, M.Iw.",Funktionalalgorithmen des automatischen Telefonapparates und des automatischen Telefonsekretärs,1973,-1,itc07

129,"Le Gall, P.",Sur L'Utilisation et L'Observation Du Taux D'Efficacite Du Trafic Telephonique,1973,-1,itc07

130,"Tange, I.",Final Panel Discussion,1973,0,itc07

131,"Inose, H. and Saito, T. and Yanagisawa, Y. and Duerdoth, W.T. and Seymour, C.A. and Schehrer, R. and Lajtha, G. and Mazgon, A. and Enomoto, O. and Miyamoto, H. and Manera, L. and Rellegrini, R.",Discussion Record: Session No. 63 - TDM-Switching Systems,1973,-1,itc07

132,"Manera, L. and Pellegrini, R.",Trunking Studies for a TDM Terminal Exchange,1973,-1,itc07

133,"Enomoto, Osamu and Miyamoto, Hikaru",An Analysis of Mixtures of Multiple Band-Width Traffic on Time Division Switching Networks,1973,25,itc07

134,"Lajtha, G. and Mazgon, A.",Traffic and Economic Design of Networks Based on Time-Slot Switching,1973,0,itc07

135,"Schehrer, Rudolf",On a Queuing Problem in TDMA Networks,1973,2,itc07

136,"Duerdoth, W.T. and Seymour, C.A.",A Quasi-Non-Blocking TDM Switch,1973,-1,itc07

137,"Inose, Hiroshi and Saito, Tadao and Yanagisawa, Yoshihiro",Evaluation of PCM Toll Switching Networks with Partial Access Pulse Shifters,1973,2,itc07

138,"Macurdy, W.B. and Rahko, K. and Erke, T. and Wean, O.",Discussion Record: Session No. 62 - Network Management,1973,-1,itc07

139,"Wean, O.",Network Management Strategies,1973,-1,itc07

140,"Rahko, K. and Erke, T.",Traffic Routing and Control in a Network,1973,-1,itc07

141,"Lazarev, Vladimir G.",An Approach to the Network Management,1973,-1,itc07

142,"Macurdy, W.B.",Network Management in the United States - Problems and Progress,1973,6,itc07

143,"Pratt, c. and Tange, I.",Discussion Record: Session No.61 - CCITT,1973,-1,itc07

144,"Jensen, A.","Research - Administration - Development - Planning, Problems Related to the Cooperation Between ITC and CCITT",1973,-1,itc07

145,"Pratt, C.W. and Tange, I.",On Traffic Engineering Studies in the CCITT,1973,-1,itc07

146,"Jensen, A.",Report of ITC-Committees,1973,-1,itc07

147,"Birch, L.A. and Bruce Cole, J. and Berger, M. and Neal, S.R. and Evers, R.",Discussion Record: Session No.54 - Traffic Measurements,1973,-1,itc07

148,"Evers, Rolf",Measurement of Subscriber Reaction to Unsuccessful Call Attempts and the Influence of Reasons of Failure,1973,4,itc07

149,"Daisenberger, G.",Vemaus - A General Purpose Program System for Editing and Evaluating and Analysing the Results of Traffic Load Measurements,1973,0,itc07

150,"Berger, M. and Neal, S.R.",A Sensitivity Study of Traffic-Parameter Estimation Procedures Used for Engineering Trunk Groups,1973,2,itc07

151,"Birch, Leo A. and Bruce Cole, J.",Economic Cosiderations in the Development of Traffic Data Gathering Programs,1973,-1,itc07

152,"Bear, D. and Breary, D. and Gates, J. and Segal, M. and Pecchinotti, A. and Koperniczky, K. and Bear, D. and Seymour, C.A. and Str and berg, K.",Discussion Record: Session No.53 - Special Problems,1973,-1,itc07

153,"Str and berg, Kjell",Reliability Prediction in Telephone Systems Engineering,1973,3,itc07

154,"Bear, D. and Seymour, C.A.",A Traffic Prediction Model for a Telephone Exchange Network,1973,3,itc07

155,"Koperniczky, Karoly",Modelling of Telephone Services,1973,-1,itc07

156,"Pecchinotti, A.",Satellite Communication Traffic Demand Assignment Experiments,1973,-1,itc07

157,"Segal, Moshe",The Operator Scheduling Problem - A Network Flow Approach,1973,201,itc07

158,"Breary, Denis and Gates, James",A Long Term Study of the United Kingdom Trunk Network,1973,5,itc07

159,"Bear, D.",Some Theories of Telephone Traffic Distribution: A Critical Survey,1973,12,itc07

160,"Lotze, A. and Leigh, R.B. and Asgersen, C. and Kyme, R.C. and Mir and a, G. and Pallotta, P.",Discussion Record: Session No.52 - Network Engineering,1973,-1,itc07

161,"Mir and a, G. and Pallotta, P.",On Design Criteria for a Telephone Toll Network with Respect to Overload Protection,1973,-1,itc07

162,"Kyme, R.C.",A System for Telephone Traffic Measurement and Routing Analysis by Computer,1973,2,itc07

163,"Kharkevich, A.D.",Some Results of the Simulation of Communications Network with Ordinary and Constant Alternate Routing,1973,-1,itc07

164,"Asgersen, Chr.",Dimensioning of Trunk Networks According to a Uniform Overload Capacity Criterion,1973,2,itc07

165,"Leigh, Robert B.",Standards for the Economic Provision of Direct Routes,1973,-1,itc07

166,"Lotze, A.",DDD Network Optimization in Field Engineering - From Theory to Application,1973,6,itc07

167,"Elldin, A.H. and Masetti, G. and Mir and a, G. and Katz, S.S. and Taylor, A. and Batty, N.G. and Parviala, A. and Nurminen, M. and Heiskanen, L.",Discussion Record: Session No.51 - Forecasting and Economic Considerations,1973,-1,itc07

168,"Parviala, A. and Nurminen, M. and Heiskanen, L.","Local Network Planning Computerized: Forecasting the Number of Subscriber Lines in Any Building as a Function of its Characteristics, Using Correlation Analysis",1973,-1,itc07

169,"Taylor, A. and Batty, N.G.",Computing Aspects of a Traffic Prediction Model of a Telephone Exchange Network,1973,-1,itc07

170,"Katz, Steven S.",Long-Range Planning of Hierarchical Trunk Networks with Rearrangement Costs,1973,2,itc07

171,"Masetti, G. and Mir and a, G.",Computer Aided Forecasting for Point-to-Point Traffic Offered to an Automatic Toll Network,1973,-1,itc07

172,"Elldin, A.H.",On the Dependence Between Traffic and Tariff,1973,-1,itc07

173,"Gr and jean, C. and Hattori, N. and Yamada, K. and Fredrikson, G. and Espvik, O.",Discussion Record: Session No.44 - Data Traffic,1973,-1,itc07

174,"Espvik, Ola",Simulation Experiments with GASP II,1973,-1,itc07

175,"Pilschikov, E.A. and Sharipova, M.M.",On One of the Approaches to the Synthesis of STructures on Information Exchange Systems,1973,0,itc07

176,"Fredrikson, Gunnar F.W.",Performance of Traffic Concentrators in Data Communication Systems,1973,0,itc07

177,"Hattori, Naohiki and Yamada, Kazuo",Traffic Characteristics of the International Telex Calls,1973,3,itc07

178,"Gr and jean, Charles",Traffic Calculations in Saturation Routing with Priorities,1973,14,itc07

179,"Kelly, P.",The Impact of the Growth in Data Transmission on Network Planning,1973,1,itc07

180,"Kleinrock, L. and Hsu, J. and Cohen, J.W. and Langenbach-Belz, M. and Karl and er, B. and Villar De Villacian, J.E. and Gonzales Soto, O. and Garcia Higuera, J.A.",Discussion Record: Session No.43 - Computers and SPC-Systems,1973,0,itc07

181,"Enns, E.G. and Wignall, T.K.","The Busy Period and the Probability that a Particular Queue is in Service in a Single Server Queueing System with n Queues, Arbitrary Priorities, and a General Probabilistic Inter-Queue Transition Matrix",1973,4,itc07

182,"de Villacian, J.E. and Gonzales Soto, O. and Garchia Higuera, J.A.",An Approximate Calculation Method to Estimate Processor Capacity in SPC SWitching Systems,1973,0,itc07

183,"Karl and er, Bo",Control of Central Processor Load in a SPC System,1973,10,itc07

184,"Langenbach-Belz, M.",Two-Stage Queuing System with Sampled Parallel Input Queues,1973,8,itc07

185,"Schwaertzel, H.G.",Serving Strategies of Batch Arrivals in Common Control Switching Systems,1973,3,itc07

186,"Cohen, J.W.",Analysis of Storage Hierarchy,1973,0,itc07

187,"Kleinrock, Leornard and Hsu, Jiunn",A Continuum of Computer Processor-Sharing Queueing Models,1973,4,itc07

188,"Caballero, P.A. and Diaz, F. and Parviala, A. and Szybicki, E. and Anderberg, M. and Fried, T. and Rudberg, A. and Ohta, T. and Nakagome, Y. and Mori, H. and W.",Discussion Record: Session 42 - Network Planning,1973,-1,itc07

189,"Harris, R.J.",Concepts of Optimality in Alternate Routing Networks,1973,16,itc07

190,"Nakagome, Yukio and Mori, Hiromichi",Flexible Routing in the Global Communication Network,1973,67,itc07

191,"Ohta, Tohru",Network Efficiency and Network Planning Considering Telecommunication Traffic Influenced by Time Difference,1973,8,itc07

192,"Anderberg, M. and Fried, T. and Rudberg, A.",Optimization of Exchange Locations and Boundaries in Local Telephone Networks,1973,4,itc07

193,"Szybicki, Edmund",Approximate Method for Determination of Overload Ability in Local Telephone Systems,1973,1,itc07

194,"Caballero, P.A. and Diaz, F.",Optimization of Networks of Hierarchical Structure with Non-Coincident Busy Hours,1973,4,itc07

195,"Bretschneider, G. and Katzschner, L. and Holtzmann, J.M. and U., Herzog and B.",Discussion Record: Session No. 41 - Overflow and Smooth Traffic,1973,-1,itc07

196,Bengt,Loss Calculations in Certain Overflow Systems Where the Holding Times in Successive Groups Have Different Means,1973,10,itc07

197,"Jensen, E.",On Arrival Processes for Overflow Calls,1973,-1,itc07

198,"Herzog, Rol",Message-Switching Networks with Alternate Routing,1973,1,itc07

199,"Holtzman, Jack M.",The Accuracy of the Equivalent Random Method with Renewal Inputs,1973,38,itc07

200,"Katzschner, Lothar",Service Protection for Direct Final Traffic in DDD-Networks,1973,7,itc07

201,"Kuczura, Anatol",Loss Systems with Mixed Renewal and Poisson Inputs,1973,65,itc07

202,"Bretschneider, Gerhard",Extension of the Equivalent Random Method to Smooth Traffics,1973,25,itc07

203,"Gosztony, G. and Rubas, J. and Wollner, E. and Urmoneit, W. and Fakhr El Din, M.E. and Peiram, L.",Discussion Record: Session No.34 - Queueing Systems II,1973,-1,itc07

204,"Fakhr El Din, M.E. and Peiram, L.",Calculation of the Traffic Capacity of a Private Data Network,1973,-1,itc07

205,"Urmoneit, Wolfgang",Delay and Loss System with Early Departure Calls,1973,-1,itc07

206,"Wollner, Eckart",A Queuing Problem in Data Transmission,1973,2,itc07

207,"Dobrushin, Rol and L. and Sukhov, Yury M.",Computation of a Starlike Switching Network with a Large Number of Radial Rays,1973,0,itc07

208,Gosztony,"Full Availability One-Way and Both-Way Trunk Groups with Delay and Loss Type Traffic, Finite Number of Traffic Sources, and Limited Queue Length",1973,1,itc07

209,"Dietrich, G. and Nieto, A. and Parra, J. and Bonatti, M. and Kubanski, P. and Popoli, P. and Rodriguez, A. and B., Fontana and Die Fagoaga, G. and Corsi, P. and Ricciarelli, R. and Casalotti, O.",Discussion Record: Session No. 33 - Common Control System,1973,-1,itc07

210,"Gnedenko, B.W. and Schneps-Schneppe, M.A.",Statistical Problems in Teletraffic Theory,1973,-1,itc07

211,"Garmash, Victor A.",Batch Switching Systems: Structures and Procedures,1973,0,itc07

212,"Corsi, P. and Ricciarelli, R. and Casalotti, O.",Common Control Performance of Switching Systems in Hierarchical Networks,1973,-1,itc07

213,"Rodriguez, A. and Fontana, B. and Die Fagoaga, G.",A Calculation Method to Study in a Full Availability Group the Influence of Time-Outs,1973,-1,itc07

214,"Bonatti, M. and Kubanski, P. and Popoli, P.",A Class of Common Control Circuits Systems: Single-Stage and Two-Stage Arrangements with Waiting,1973,-1,itc07

215,"N. Nieto, Adolfo M. and Parra, Juan M.",Revision del Concepto de ''Hora Cargada'' en el Calculo de Centrales Telefonicas de Control Comun,1973,-1,itc07

216,"Nieto Nieto, A.M. and Parra, J.",Revision of the Busy Hour Concept in the Calculation of Common Control Telephone Exchanges,1973,-1,itc07

217,Dietrich,Telephone Traffic Model for Common Control Investigations,1973,4,itc07

218,"Cohen, J.W. and W. and Hashida, O. and Jujiki, M. and Schassberger, R.A. and Rudin, H. and J.M., Robins",Discussion Record: Session No.32 - Queueing Systems I,1973,-1,itc07

219,"Robins, J.M.",A Teletraffic Problem Arising from the Design of Large Message Switches,1973,-1,itc07

220,"Rudin, Harry Jr.",An Approximate Model and Analysis for a Queue with Highly Clustered Arrivals,1973,-1,itc07

221,"Schassberger, Rolf A.",Investigation of Queuing and Related Systems with the Phase Method,1973,5,itc07

222,"Hashida, On and Fujiki, Masaya",Queueing Models for Buffer Memory in Store-and-Forward Systems,1973,21,itc07

223,Wolfgang,Total Waiting Time Distribution Function and the Fate of a Customer in a System with Two Queues in Series,1973,4,itc07

224,"Cohen, J.W.",Some Aspects of Queueing Theory,1973,0,itc07

225,"Benes, V.E. and Joel, A.E. and Marcus, M.J. and D., Bazlen and W.",Discussion Record: Session No.31 - Switching Networks II,1973,-1,itc07

226,"Pinsker, Mark S.",On the Complexity of a Concentrator,1973,286,itc07

227,"Bazlen, Dieter",Link Systems with Both-Way Connections and Outgoing Finite-Source Traffic,1973,2,itc07

228,"Marcus, Michael J.",Bounds for the Growth of the Number of Contacts in Connecting Networks,1973,0,itc07

229,"Neiman, Vladimir I.",Some Binary Connecting Networks and Their Traffic Characteristics,1973,-1,itc07

230,"Melik-Gaikazova, Eleonora I.",The Structure of Multigroup Connecting Networks,1973,1,itc07

231,"Joel, A.E. Jr.",Nodal Switching Networks,1973,-1,itc07

232,"Benes, Vaclav E.",Semilattice Characterization of Nonblocking Networks,1973,16,itc07

233,"Jung, M.M. and Kuehn, P. and Joys, L.A. and Skogan, E. and Takagi, K. and Kvaase, H. and R.","Discussion Record, Session No. 24 - Gradings",1973,-1,itc07

234,"Kvaase, Helge and Lochen, Ragnar C.",An Investigation of the Effect of Alternative Hunting Rules in a Group of Code Receivers with Limited Availability,1973,-1,itc07

235,"Takagi, Kenzo",A Numerical Solution Method of Simplified Equations of State and its Application to Grading Groups,1973,0,itc07

236,"Skogan, Even",An Iterative Method to Calculate Traffic Losses in Grading Systems,1973,-1,itc07

237,"Kuehn, Paul",Waiting Time Distributions in Multi-Queue Delay Sytems with Gradings,1973,7,itc07

238,"Jung, Magdalena M.",Call Congestion and Distribution of Number of Engaged Outlets in a Given Split of Gradings with Random Routing,1973,-1,itc07

239,"Bazlen, D. and Kampe, G. and Lotze, A. and Michaux, J. and de Raedt, L. and Jaquemijn, E. and Kappel, J.G. and de Boer, J. and Johnson, E.M. and Loken, B.",Discussion Record: Session No. 23 - Switching Networks I,1973,-1,itc07

240,"Ershov, Vladimir A. and Lyashko, Oleg E.",Determination of Blocking Situations in the Three-Stage connection Systems with Limited Number of Rearrangements,1973,-1,itc07

241,"Loken, Bjorn",Congestion Studies in an Incomplete Link System,1973,-1,itc07

242,"Johnson, Elena M.",Inherent Load Balance in Link Systems with Random Slim Multiples,1973,0,itc07

243,"de Boer, J.",Comparison of Random Selection and Selection with a Fixed Starting Position in a Multi-Stage Link Network,1973,3,itc07

244,"Kappel, J.G.",Design of Efficient Link Systems with Concentration Stages,1973,0,itc07

